SLUS,RAM,ASM,BranchTargetSLUS,BranchTargetRAM
010438,8001FC38,"j 0x801D9790 (1C9F90)",,
01043C,8001FC3C,"lui $v1, 0x801D",,
010440,8001FC40,"lhu $v0, 626($gp)",,
010444,8001FC44,"sw $a0, -752($v1)",,
010448,8001FC48,"sw $a1, -748($v1)",,
01044C,8001FC4C,"lui $v1, 0x800F",,
010450,8001FC50,"lw $v1, -24848($v1)",,
010454,8001FC54,"lbu $v1, 106($v1)",,
010458,8001FC58,"sll $a0, $v1, 3",,
01045C,8001FC5C,"subu $a0, $a0, $v1",,
010460,8001FC60,"sll $a0, $a0, 2",,
010464,8001FC64,"lui $v1, 0x801A",,
010468,8001FC68,"addiu $v1, $v1, 31448 [0x7AD8]",,
01046C,8001FC6C,"addu $a0, $a0, $v1",,
010470,8001FC70,"lhu $a0, 12($a0)",,
010474,8001FC74,"addiu $a1, $zero, 0 [0x0000]",,
010478,8001FC78,"lui $v1, 0x801E",,
01047C,8001FC7C,"addu $v1, $v1, $a1",,
010480,8001FC80,"lhu $v1, -26624($v1)",,
010484,8001FC84,"beq $v1, $a0, 8",0104A8,8001FCA8
010488,8001FC88,"addiu $a1, $a1, 2 [0x0002]",,
01048C,8001FC8C,"slti $v1, $a1, 32 [0x0020]",,
010490,8001FC90,"bne $v1, $zero, -7",,
010494,8001FC94,"lui $v1, 0x801D",,
010498,8001FC98,"lw $a0, -752($v1)",,
01049C,8001FC9C,"lw $a1, -748($v1)",,
0104A0,8001FCA0,"j 0x8001FC40 (010440)",,
0104A4,8001FCA4,"lui $v1, 0x800F",,
0104A8,8001FCA8,"j 0x801D97E4 (1C9FE4)",,
0104AC,8001FCAC,"addiu $v0, $zero, -31744 [0x8400]",,
0104B0,8001FCB0,"mtlo $s6",,
0104B4,8001FCB4,"mtlo $fp",,
0104B8,8001FCB8,"regimm rt=0x13 rs=$a2 imm=723",,
0104BC,8001FCBC,"regimm rt=0x13 rs=$t6 imm=723",,
0104C0,8001FCC0,"regimm rt=0x13 rs=$s6 imm=723",,
0104C4,8001FCC4,"regimm rt=0x13 rs=$fp imm=723",,
0104C8,8001FCC8,"j 0x834C0B4C (34B134C)",,
0104CC,8001FCCC,"j 0x874C0B4C (74B134C)",,
