HEX,SLUS,RAM,ASM,BranchTargetSLUS,BranchTargetRAM
01 00 17 24,1CA1B8,801D99B8,"addiu $s7, $zero, 1 [0x0001]",,
09 00 D7 12,1CA1BC,801D99BC,"beq [TRUE] $s6, $s7, 9",1CA1E8,801D99E8
02 00 17 24,1CA1E8,801D99E8,"addiu $s7, $zero, 2 [0x0002]",,
00 00 D7 12,1CA1EC,801D99EC,"beq [FALSE] $s6, $s7, 0",1CA1F4,801D99F4
03 00 17 24,1CA1F0,801D99F0,"addiu $s7, $zero, 3 [0x0003]",,
00 00 D7 12,1CA1F4,801D99F4,"beq [FALSE] $s6, $s7, 0",1CA1FC,801D99FC
04 00 17 24,1CA1F8,801D99F8,"addiu $s7, $zero, 4 [0x0004]",,
00 00 D7 12,1CA1FC,801D99FC,"beq [FALSE] $s6, $s7, 0",1CA204,801D9A04
00 00 00 00,1CA200,801D9A00,"nop",,
5F 66 07 08,1CA204,801D9A04,"j 0x801D997C",1CA17C,801D997C
00 00 00 00,1CA17C,801D997C,"nop",,
1A 80 0C 3C,1CA180,801D9980,"lui $t4, 0x801A",,
1A 80 0D 3C,1CA184,801D9984,"lui $t5, 0x801A",,
CD 02 87 93,1CA188,801D9988,"lbu $a3, 717($gp)",,
